libra_field,jsonpath,container,funcapp_xhibit_status,funcapp_libra_action,canonical_field,canonical_status,pcfdlrm_field,pcfdlrm_status,progression_field,progression_status,change_required,change_type,change_detail,tier,notes
vehicleCode,$.migratedCase.defendants[*].offences[*].vehicleCode,defendants[*].offences[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,vehicle-related-offence.json#vehicleCode (type=string),exists_same_name,offenceFacts.json#vehicleCode,exists_optional,yes,add-optional-field,"Canonical: add vehicleCode to defendants[*].offences[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to offence as optional; PCFDLRM groups it under vehicleRelatedOffence, core under offenceFacts",1-drop-in,"LIBRA sheet row 145; Add to offence as optional; PCFDLRM groups it under vehicleRelatedOffence, core under offenceFacts"
vehicleMake,$.migratedCase.defendants[*].offences[*].vehicleMake,defendants[*].offences[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,migrated/migrated-offence.json#vehicleMake ($ref=vehicleMake),exists_same_name,offenceFacts.json#vehicleMake,exists_optional,yes,add-optional-field,"Canonical: add vehicleMake to defendants[*].offences[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to offence as optional; core defines the type as string maxLength 60 — exactly the sheet's A60. Reaches Progression via offence.offenceFacts. NOTE this was previously recorded as dying at PCFDLRM; that rested on rooting reachability at the external apiProsecutionCase model instead of the courtReferral payload",1-drop-in,LIBRA sheet row 146; Add to offence as optional; core defines the type as string maxLength 60 — exactly the sheet's A60. Reaches Progression via offence.offenceFacts. NOTE this was previously recorded as dying at PCFDLRM; that rested on rooting reachability at the external apiProsecutionCase model instead of the courtReferral payload
vehicleRegistrationMark,$.migratedCase.defendants[*].offences[*].vehicleRegistrationMark,defendants[*].offences[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,migrated/migrated-offence.json#vehicleRegistrationMark ($ref=vehicleRegistrationMark),exists_same_name,offenceFacts.json#vehicleRegistration,exists_optional,yes,add-optional-field,"Canonical: add vehicleRegistrationMark to defendants[*].offences[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to offence as optional; use the core $ref (maxLength 11 + pattern) PCFDLRM uses. Core renames it vehicleRegistration under offenceFacts",1-drop-in,LIBRA sheet row 147; Add to offence as optional; use the core $ref (maxLength 11 + pattern) PCFDLRM uses. Core renames it vehicleRegistration under offenceFacts
additionalNationality,$.migratedCase.defendants[*].individual.selfDefinedInformation.additionalNationality,defendants[*].individual.selfDefinedInformation,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,self-defined-information.json#additionalNationality (type=string maxLength=3),exists_same_name,person.json#additionalNationalityCode,exists_optional,yes,add-optional-field,"Canonical: add additionalNationality to defendants[*].individual.selfDefinedInformation as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to selfDefinedInformation as optional; identical in PCFDLRM. Core names it additionalNationalityCode (also has Id/Description)",1-drop-in,LIBRA sheet row 65; Add to selfDefinedInformation as optional; identical in PCFDLRM. Core names it additionalNationalityCode (also has Id/Description)
defendantOccupationCode,$.migratedCase.defendants[*].defendantOccupationCode,defendants[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,personal-information.json#occupationCode (type=integer),exists_different_name,person.json#occupationCode,exists_optional,yes,add-optional-field,"Canonical: add defendantOccupationCode to defendants[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to personalInformation as optional, named occupationCode to match PCFDLRM and core",2-renamed,"LIBRA sheet row 76; Add to personalInformation as optional, named occupationCode to match PCFDLRM and core"
licenseCode,$.migratedCase.defendants[*].licenseCode,defendants[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,individual.json#driverLicenceCode (type=string),exists_different_name,personDefendant.json#driverLicenceCode,exists_optional,yes,add-optional-field,"Canonical: add licenseCode to defendants[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Add to individual as optional, named driverLicenceCode to match both PCFDLRM and core; note both also carry driverLicence/LicenseIssue",2-renamed,"LIBRA sheet row 78; Add to individual as optional, named driverLicenceCode to match both PCFDLRM and core; note both also carry driverLicence/LicenseIssue"
prosecutorCompensation,$.migratedCase.defendants[*].offences[*].prosecutorCompensation,defendants[*].offences[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,migrated/migrated-offence.json#appliedCompensation (type=number),exists_different_name,n/a,no_field,yes,add-optional-field,"Canonical: add prosecutorCompensation to defendants[*].offences[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Likely PCFDLRM appliedCompensation (number both sides) — CONFIRM semantics. No core case-model field",2-renamed,LIBRA sheet row 141; Likely PCFDLRM appliedCompensation (number both sides) — CONFIRM semantics. No core case-model field
middleName2,$.migratedCase.defendants[*].individual.personalInformation.middleName2,defendants[*].individual.personalInformation,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,personal-information.json#givenName3 (type=string maxLength=35),exists_different_name,n/a,no_field,yes,add-optional-field,"Canonical: add middleName2 to defendants[*].individual.personalInformation as optional (the object is closed, so an undeclared field is a terminal 4xx). Maps to PCFDLRM givenName3 (maxLength 35 vs the sheet's 255), but no reachable core schema has a third given name (person.json has one middleName) — lost at the PCFDLRM->Progression hop",2-renamed,"LIBRA sheet row 59; Maps to PCFDLRM givenName3 (maxLength 35 vs the sheet's 255), but no reachable core schema has a third given name (person.json has one middleName) — lost at the PCFDLRM->Progression hop"
dxAddress,$.migratedCase.officerInCase.dxAddress,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,n/a,no_field,n/a,no_field,yes,add-field-blocked-downstream,"Canonical: add dxAddress to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). No home in the criminal-court model. Only cps-core-domain/contact-details.json has dxAddress, a different domain — defer. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,"LIBRA sheet row 43; No home in the criminal-court model. Only cps-core-domain/contact-details.json has dxAddress, a different domain — defer"
faxNumber,$.migratedCase.officerInCase.faxNumber,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,n/a,no_field,contactNumber.json#fax,exists_optional,yes,add-field-blocked-downstream,"Canonical: add faxNumber to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). Core has it as apiContactNumber.fax; PCFDLRM's contact-details has no fax — PCFDLRM needs the field added. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 42; Core has it as apiContactNumber.fax; PCFDLRM's contact-details has no fax — PCFDLRM needs the field added
forename,$.migratedCase.officerInCase.forename,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,personal-information.json#personalInformation.firstName (type=string maxLength=130),exists_different_name,person.json#firstName,exists_optional,yes,add-field-blocked-downstream,"Canonical: add forename to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). Officer names travel via personDetails -> apiPerson.firstName. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 24; Officer names travel via personDetails -> apiPerson.firstName
forename2,$.migratedCase.officerInCase.forename2,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,personal-information.json#personalInformation.givenName2 (type=string maxLength=35),exists_different_name,person.json#middleName,exists_optional,yes,add-field-blocked-downstream,"Canonical: add forename2 to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). Officer second forename -> core person.middleName. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 25; Officer second forename -> core person.middleName
forename3,$.migratedCase.officerInCase.forename3,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,personal-information.json#personalInformation.givenName3 (type=string maxLength=35),exists_different_name,n/a,no_field,yes,add-field-blocked-downstream,"Canonical: add forename3 to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). PCFDLRM has givenName3; core has forename3 only in cpsPersonDefendantDetails.json, which is NOT reachable from the courtReferral payload, and apiPerson has a single middleName — third forename is lost downstream. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,"LIBRA sheet row 26; PCFDLRM has givenName3; core has forename3 only in cpsPersonDefendantDetails.json, which is NOT reachable from the courtReferral payload, and apiPerson has a single middleName — third forename is lost downstream"
mobileTelephoneNumber,$.migratedCase.officerInCase.mobileTelephoneNumber,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,contact-details.json#contactDetails.mobile (type=string maxLength=35),exists_different_name,contactNumber.json#mobile,exists_optional,yes,add-field-blocked-downstream,"Canonical: add mobileTelephoneNumber to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). Maps onto contactDetails.mobile / core contactNumber.mobile. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 39; Maps onto contactDetails.mobile / core contactNumber.mobile
policeOfficerRank,$.migratedCase.officerInCase.policeOfficerRank,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,pcf-policeOfficerInCase.json#policeOfficerRank (type=string maxLength=130),exists_same_name,policeOfficerInCase.json#policeOfficerRank,exists_mandatory,yes,add-field-blocked-downstream,"Canonical: add policeOfficerRank to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). REQUIRED in core's officer block. PCFDLRM has the field but its officer schema is referenced by nothing — PCFDLRM must wire it up. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 28; REQUIRED in core's officer block. PCFDLRM has the field but its officer schema is referenced by nothing — PCFDLRM must wire it up
policeWorkerLocationCode,$.migratedCase.officerInCase.policeWorkerLocationCode,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,n/a,no_field,policeOfficerInCase.json#policeWorkerLocationCode,exists_mandatory,yes,add-field-blocked-downstream,"Canonical: add policeWorkerLocationCode to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). REQUIRED in core's officer block but absent from PCFDLRM — PCFDLRM needs the field added. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 30; REQUIRED in core's officer block but absent from PCFDLRM — PCFDLRM needs the field added
policeWorkerReferenceNumber,$.migratedCase.officerInCase.policeWorkerReferenceNumber,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,n/a,no_field,policeOfficerInCase.json#policeWorkerReferenceNumber,exists_mandatory,yes,add-field-blocked-downstream,"Canonical: add policeWorkerReferenceNumber to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). REQUIRED in core's officer block but absent from PCFDLRM — PCFDLRM needs the field added. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 29; REQUIRED in core's officer block but absent from PCFDLRM — PCFDLRM needs the field added
primaryEmail,$.migratedCase.officerInCase.primaryEmail,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,contact-details.json#contactDetails.primaryEmail (type=string maxLength=255),exists_same_name,contactNumber.json#primaryEmail,exists_optional,yes,add-field-blocked-downstream,"Canonical: add primaryEmail to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). Maps onto contactDetails.primaryEmail / core contactNumber.primaryEmail. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 40; Maps onto contactDetails.primaryEmail / core contactNumber.primaryEmail
secondaryEmail,$.migratedCase.officerInCase.secondaryEmail,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,contact-details.json#contactDetails.secondaryEmail (type=string maxLength=255),exists_same_name,contactNumber.json#secondaryEmail,exists_optional,yes,add-field-blocked-downstream,"Canonical: add secondaryEmail to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). Maps onto contactDetails.secondaryEmail / core contactNumber.secondaryEmail. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 41; Maps onto contactDetails.secondaryEmail / core contactNumber.secondaryEmail
surname,$.migratedCase.officerInCase.surname,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,personal-information.json#personalInformation.lastName (type=string maxLength=35),exists_different_name,person.json#lastName,exists_mandatory,yes,add-field-blocked-downstream,"Canonical: add surname to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). Officer surname -> core person.lastName (required there). PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 27; Officer surname -> core person.lastName (required there)
uniquePropertyReferenceNumber,$.migratedCase.officerInCase.uniquePropertyReferenceNumber,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,n/a,no_field,n/a,no_field,yes,add-field-blocked-downstream,"Canonical: add uniquePropertyReferenceNumber to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). The ONLY LIBRA field with no counterpart in PCFDLRM or anywhere in the core domain — defer. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 31; The ONLY LIBRA field with no counterpart in PCFDLRM or anywhere in the core domain — defer
workTelephoneNumber,$.migratedCase.officerInCase.workTelephoneNumber,officerInCase,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,contact-details.json#contactDetails.work (type=string maxLength=35),exists_different_name,contactNumber.json#work,exists_optional,yes,add-field-blocked-downstream,"Canonical: add workTelephoneNumber to officerInCase as optional (the object is closed, so an undeclared field is a terminal 4xx). Maps onto contactDetails.work / core contactNumber.work. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 38; Maps onto contactDetails.work / core contactNumber.work
address1,$.migratedCase.officerInCase.address.address1,officerInCase.address,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,pcf-address.json#address1 (type=string),exists_same_name,address.json#address1,exists_mandatory,yes,add-field-blocked-downstream,"Canonical: add address1 to officerInCase.address as optional (the object is closed, so an undeclared field is a terminal 4xx). Officer address reuses pcf-address / core address. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 32; Officer address reuses pcf-address / core address
address2,$.migratedCase.officerInCase.address.address2,officerInCase.address,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,pcf-address.json#address2 (type=string),exists_same_name,address.json#address2,exists_optional,yes,add-field-blocked-downstream,"Canonical: add address2 to officerInCase.address as optional (the object is closed, so an undeclared field is a terminal 4xx). Officer address reuses pcf-address / core address. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 33; Officer address reuses pcf-address / core address
address3,$.migratedCase.officerInCase.address.address3,officerInCase.address,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,pcf-address.json#address3 (type=string),exists_same_name,address.json#address3,exists_optional,yes,add-field-blocked-downstream,"Canonical: add address3 to officerInCase.address as optional (the object is closed, so an undeclared field is a terminal 4xx). Officer address reuses pcf-address / core address. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 34; Officer address reuses pcf-address / core address
address4,$.migratedCase.officerInCase.address.address4,officerInCase.address,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,pcf-address.json#address4 (type=string),exists_same_name,address.json#address4,exists_optional,yes,add-field-blocked-downstream,"Canonical: add address4 to officerInCase.address as optional (the object is closed, so an undeclared field is a terminal 4xx). Officer address reuses pcf-address / core address. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 35; Officer address reuses pcf-address / core address
address5,$.migratedCase.officerInCase.address.address5,officerInCase.address,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,pcf-address.json#address5 (type=string),exists_same_name,address.json#address5,exists_optional,yes,add-field-blocked-downstream,"Canonical: add address5 to officerInCase.address as optional (the object is closed, so an undeclared field is a terminal 4xx). Officer address reuses pcf-address / core address. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 36; Officer address reuses pcf-address / core address
postcode,$.migratedCase.officerInCase.address.postcode,officerInCase.address,not_validated,not-validated-at-gate,n/a,added_not_in_canonical,pcf-address.json#postcode (type=string),exists_same_name,address.json#postcode,exists_optional,yes,add-field-blocked-downstream,"Canonical: add postcode to officerInCase.address as optional (the object is closed, so an undeclared field is a terminal 4xx). Officer address reuses pcf-address / core address. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",3-officer-pcfdlrm-gap,LIBRA sheet row 37; Officer address reuses pcf-address / core address
numPreviousConvictions,$.migratedCase.defendants[*].numPreviousConvictions,defendants[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,n/a,no_field,defendant.json#numberOfPreviousConvictionsCited,exists_optional,yes,add-field-blocked-downstream,"Canonical: add numPreviousConvictions to defendants[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Live and reachable in core as defendant.numberOfPreviousConvictionsCited (""number of previous convictions cited by the prosecuting authority""). Blocked at PCFDLRM, which has no equivalent — same shape as convictionDate. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",4-pcfdlrm-gap,"LIBRA sheet row 91; Live and reachable in core as defendant.numberOfPreviousConvictionsCited (""number of previous convictions cited by the prosecuting authority""). Blocked at PCFDLRM, which has no equivalent — same shape as convictionDate"
organisationTelephoneNumber,$.migratedCase.defendants[*].organisationTelephoneNumber,defendants[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,n/a,no_field,organisation.json#contact,exists_optional,yes,add-field-blocked-downstream,"Canonical: add organisationTelephoneNumber to defendants[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). An organisation phone reaches Progression via organisation.contact -> contactNumber (work/home/mobile). Blocked at PCFDLRM. NOTE the workbook already has companyTelephoneNumber (-> defendant.telephoneNumberBusiness) so row 63 looks like a duplicate — confirm before adding either. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",4-pcfdlrm-gap,LIBRA sheet row 63; An organisation phone reaches Progression via organisation.contact -> contactNumber (work/home/mobile). Blocked at PCFDLRM. NOTE the workbook already has companyTelephoneNumber (-> defendant.telephoneNumberBusiness) so row 63 looks like a duplicate — confirm before adding either
convictionDate,$.migratedCase.defendants[*].offences[*].convictionDate,defendants[*].offences[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,n/a,no_field,offence.json#convictionDate,exists_optional,yes,add-field-blocked-downstream,"Canonical: add convictionDate to defendants[*].offences[*] as optional (the object is closed, so an undeclared field is a terminal 4xx). Live and reachable in core offence, but PCFDLRM's migrated-offence has no convictionDate, so adding it to canonical alone makes it write-only. PCFDLRM must add it first. PCFDLRM: PCFDLRM has no home for it yet, so canonical alone makes it write-only",4-pcfdlrm-gap,"LIBRA sheet row 153; Live and reachable in core offence, but PCFDLRM's migrated-offence has no convictionDate, so adding it to canonical alone makes it write-only. PCFDLRM must add it first"
informant,$.migratedCase.caseDetails.informant,caseDetails,not_validated,declare,n/a,added_not_in_canonical,n/a,no_field,n/a,no_field,yes,declare-only,"Canonical: nothing downstream models informant, but caseDetails is closed (additionalProperties:false), so a LIBRA payload carrying it is rejected outright. Either declare it as an accepted-but-unmapped optional field, or strip it before the command call — do NOT map it onward. Do not add yet — nothing in PCFDLRM or core. Progression's only informant is a $ref to prosecutingAuthority in a generate-summons schema, different semantics. Func-app: declare informant as optional in the new LIBRA schema — the generated caseDetails is closed (additionalProperties:false), so an undeclared field is rejected at the gate; XHIBIT's own file is unchanged",5-no-downstream-home,"LIBRA sheet row 12; Do not add yet — nothing in PCFDLRM or core. Progression's only informant is a $ref to prosecutingAuthority in a generate-summons schema, different semantics"
writtenChargePostingDate,$.migratedCase.caseDetails.writtenChargePostingDate,caseDetails,not_validated,declare,n/a,added_not_in_canonical,n/a,no_field,n/a,no_field,yes,declare-only,"Canonical: nothing downstream models writtenChargePostingDate, but caseDetails is closed (additionalProperties:false), so a LIBRA payload carrying it is rejected outright. Either declare it as an accepted-but-unmapped optional field, or strip it before the command call — do NOT map it onward. Do not add yet — no PCFDLRM field. Core's nearest match is sjpReferral.noticeDate, in a file NOT reachable from the courtReferral payload. Func-app: declare writtenChargePostingDate as optional in the new LIBRA schema — the generated caseDetails is closed (additionalProperties:false), so an undeclared field is rejected at the gate; XHIBIT's own file is unchanged",5-no-downstream-home,"LIBRA sheet row 11; Do not add yet — no PCFDLRM field. Core's nearest match is sjpReferral.noticeDate, in a file NOT reachable from the courtReferral payload"
prosecutorCosts,$.migratedCase.defendants[*].prosecutorCosts,defendants[*],not_validated,not-validated-at-gate,n/a,added_not_in_canonical,n/a,no_field,n/a,no_field,yes,declare-only,"Canonical: nothing downstream models prosecutorCosts, but defendants[*] is closed (additionalProperties:false), so a LIBRA payload carrying it is rejected outright. Either declare it as an accepted-but-unmapped optional field, or strip it before the command call — do NOT map it onward. Do not add yet — no PCFDLRM field. Core has prosecutorCosts only in summons-document-content.json, NOT reachable from the courtReferral payload (summons document text, not the case model). Func-app: below the gate's validation depth — no change",5-no-downstream-home,"LIBRA sheet row 93; Do not add yet — no PCFDLRM field. Core has prosecutorCosts only in summons-document-content.json, NOT reachable from the courtReferral payload (summons document text, not the case model)"
